
========> The following is the setup for this run:

2021_8_2_19_49_57_data_imagenet_arch_resnet50_init_kaimingn_GPUs_4_minib_205_opt_SGD+M_lr_0.35_lrpolicy_cosine_lr_ep_90

arch: resnet50
pretrained: False
resume: 
dataname: imagenet
datapath: /datasets/imagenet/
workers: 20
batch_size: 205
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 90
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0001
lr: 0.35
lr_policy: cosine_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [30, 60, 80]
lowest_lr: 0.0
scale_coslr: 1.02
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: imagenet_resnet50_train
logterminal: True
save_stages: False
gpu_idx: ['0', '1', '2', '3']
local_rank: 0
channels_last: False
distributed: True
world_size: 4

=> Global rank of the current node is 0 and the process id is 48838.
=> There are 4 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0', '1', '2', '3'] for running 4 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., resnet50, is being replicated on 4 processes.

Learning rate: 0.3500 | Curr loss: 6.7323 | Avg loss: 7.1785 | Prec@1(avg) 0.22 % | Prec@5(avg) 1.03 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 390/1563] | Time(avg): 9.60 | Speed: (pics/sec):   854
Learning rate: 0.3500 | Curr loss: 6.7288 | Avg loss: 7.1669 | Prec@1(avg) 0.22 % | Prec@5(avg) 1.04 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 400/1563] | Time(avg): 9.60 | Speed: (pics/sec):   854
Learning rate: 0.3500 | Curr loss: 6.7146 | Avg loss: 7.1554 | Prec@1(avg) 0.23 % | Prec@5(avg) 1.06 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 410/1563] | Time(avg): 9.60 | Speed: (pics/sec):   854
Learning rate: 0.3500 | Curr loss: 6.6791 | Avg loss: 7.1441 | Prec@1(avg) 0.24 % | Prec@5(avg) 1.09 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 420/1563] | Time(avg): 9.60 | Speed: (pics/sec):   854
Learning rate: 0.3500 | Curr loss: 6.7090 | Avg loss: 7.1335 | Prec@1(avg) 0.24 % | Prec@5(avg) 1.11 %
